AcceptedAnswerId,AnswerCount,Body,CommentCount,CommunityOwnedDate,CreationDate,FavoriteCount,Id,OwnerUserId,PostTypeId,Score,Tags,Title,ViewCount
36972,16,"<p>I'd like to learn how to program in Assembler. I've done a bit of assembly before (during my A-Level Computing course) but that was very definitely a simplified 'pseudo-assembler'. I've borrowed my Dad's old Z80 Assembler reference manual, and that seems quite interesting so if possible I'd like to have a go with Z80 assembler.</p>

<p>However, I don't have a Z80 processor to hand, and would like to do it on my PC (I have windows or linux so either is good). I've found various assemblers around on the internet, but I'm not particularly interested in assembling down to a hex file, I want to just be able to assemble it to something that some kind of simulator on the PC can run. Preferably this simulator would show me the contents of all the registers, memory locations etc, and let me step through instructions. I've found a few bits of software that suggest they might do this - but they either refuse to compile, or don't seem to work properly. Has anyone got any suggestions? If there are good simulator/IDE things available for another type of assembler then I could try that instead (assuming there is a good online reference manual available).</p>
",0,0,2008-08-26T08:40:39.803,8,27568,1912,1,17,<simulator><assembly>,Assembler IDE/Simulator for beginner,37128
0,2,"<p>I want to copy a DLL file from PC to vs.net`s pocket pc 2003 simulator, so i use the shared folder of the simulator, but i can not see the dll file in file list of simulator.</p>

<p>How to do it, please ?</p>
",0,0,2008-09-22T03:06:21.013,0,112976,0,1,0,<deployment><simulator>,How to copy DLL file from PC to vs.net`s pocket pc 2003 simulator?,218
11118007,3,"<p>How many international languages does the iPhone Simulator support?</p>

<p>Choose: Settings/General/International/Language</p>

<p>Mine only has English listed, but I fear I may have inadvertently stripped out the localisations?</p>

<p><a href=""http://i36.tinypic.com/1q50t1.png"" rel=""noreferrer"">iPhone/Settings/General/International/Language http://i36.tinypic.com/1q50t1.png</a></p>
",2,0,2008-10-23T12:49:56.427,0,229594,28290,1,6,<iphone><ios><simulator>,How many international languages does the iPhone Simulator support?,4382
0,6,"<p>Over the years I've worked on a number of microcontroller-based projects; mostly with Microchip's PICs. I've used various microcontroller simulators, and while they can be very helpful at times, I often find myself frustrated. In real life microcontrollers never exist alone and the firmware's behavior is dependent on the environment. However, none of the sims I've used provide decent support for anything outside the microcontroller.</p>

<p>My first thought was to model the entire board in Verilog. But, I'd rather not create an entire CPU model, and I haven't had much luck finding existing models for the chips I use. Regardless, I really don't need, or want, to simulate the proc at that level of detail, and I'd like to retain the debugging facilities provided by a regular processor sim.</p>

<p>It seems to me that the ideal solution would be a hybrid simulator that interfaces a traditional processor simulator with a Verilog model.</p>

<p>Does such a thing exist?</p>
",1,0,2008-12-17T19:23:59.277,6,375719,44747,1,16,<microcontroller><simulator><verilog><vhdl>,Microcontroller + Verilog/VHDL simulator?,4237
448544,6,"<p>I would like to create/start a simulator for the following microcontroller board: <a href=""http://www.sparkfun.com/commerce/product_info.php?products_id=707#"" rel=""nofollow noreferrer"">http://www.sparkfun.com/commerce/product_info.php?products_id=707#</a></p>

<p>The firmware is written in assembly so I'm looking for some pointers on how one would go about simulating the inputs that the hardware would receive and then the simulator would respond to the outputs from the firmware. (which would also require running the firmware in the simulated environment).</p>

<p>Any pointers on how to start? </p>

<p>Thanks
Chris</p>
",2,0,2009-01-15T21:21:09.313,3,448513,29505,1,3,<hardware><emulation><microcontroller><simulator>,starting a microcontroller simulator/emulator,4985
5892435,5,"<p><strong>Background</strong>:</p>

<p>I have a tab bar application. Each tab contains navigation controller allowing the user to transition from one view to the other showing a drill down information of the data (each view is being handled by a view controller and each view controller class has <code>didReceiveMemoryWarning</code> method). Lists are populated by pulling the data from web services.</p>

<p><strong>Problem</strong>:</p>

<p>When i use ""Hardware > Simulate Memory Warning"" option of iPhone Simulator, the <code>didReceiveMemoryWarning</code> method is called for ALL my view controllers - even the one which the user is viewing. I don't want to clear any content which is being used by the active view controller. How can I achieve that? </p>

<p>Which method should have the implementation to reload the data after the data was released because of memory warning? (I see that the view controller classes that contain a table view call <code>viewDidLoad</code> method when user comes back to that view, but if the view contains (say UIWebView) then <code>viewDidLoad</code> method is not called. Why is that?) </p>

<p><strong>Edited (Friday 30 January 2009 - 03:10 PM)</strong></p>

<p>(Note: I'm using Interface builder for creating views, and <code>loadView</code> method is commented out.)</p>

<p>So, when a view controller receives a memory warning message, these are the steps that are carried out:</p>

<ol>
<li><p>Following method is called:</p>

<pre><code>- (void)didReceiveMemoryWarning {
    [super didReceiveMemoryWarning]; 
}
</code></pre></li>
<li><p>As a result of call to <code>[super didReceiveMemoryWarning]</code>, <code>[self setView:nil]</code> gets automatically called?</p></li>
<li><p>If any resources should be cleared, then <code>setView</code> method should be overwritten to clear local resources. </p></li>
<li><p><code>[self setView:nil]</code> is not called if the view is currently active (By default). Right? - I'm really curious which method takes this decision and how?</p></li>
</ol>

<p>Can you please confirm. Plus, I was getting an error following this approach but adding <code>myObject = nil</code> after releasing <code>myObject</code> in <code>dealloc</code> method of controller class fixed the issue. Thanks.</p>
",0,0,2009-01-29T10:00:24.613,6,491075,49739,1,5,<iphone><memory><warnings><simulator>,iPhone Development - Simulate Memory Warning,18491
0,3,"<p>Can any body suggest me the best simulation tool now a days for Bluetooth Networks. in order to test various algorithoms about Routing and Roaming issue.</p>
",0,0,2009-02-09T16:55:57.793,0,528964,0,1,3,<bluetooth><simulator>,Simulation tool for Bluetooth,1799
0,2,"<p>I've this system that consists of lots of different stages piped together.
Specifically, I've got lots of different processes that communicate via tcp-ip; messages are exchanged
via a packet oriented protocol (more messages can be stuffed together in a single wire-protocol data unit
if certains conditions are met); I've control flow queues too - sockets are non blocking, if I fail to send
I queue messages or even coalesce them in the send queue;
of course what happens at runtime depends on tcp ip control flow underneath, so I'd like to model the tcp ip queues, too.
So the question is - can anyone share their thoughts on how to make a simulation for my system?
I've thought to make a simulator for it - that is: a program with a queue data structure for every queue
I have in my model, for each time tick I make the model evolve according to my understanding of the sytstem
i.e. if the data structure for the tcp buffer in my model says it has space enough I decrement the message number
in the output queue and decrease the available space counter in the tcp buffer model by the size of the message, and so on - then I make the
tcp buffer empty at a rate based on the bandwidth for the tcp link
(of course I'm making the hypothesis that I'm pumping lots of data and that the only parameter for the tcp link
is bandwidth).
Building such a thing seems a lot of effort and I'm not sure it is what I need.
Maybe I'd better off with some kind of excel spreadsheet model, but I'm not sure how to structure it.</p>
",0,0,2009-03-02T12:51:16.843,0,602222,0,1,1,<model><tcp><queue><simulator>,Modelling message queues,293
0,1,"<p>I'm having trouble running the Leaks Instrument since installing the 3.0 SDK. An NDA disclaimer here I don't think this is a 3.0 SDK issue, just a configuration problem. So I'm looking for advice on configuring the tools in question not the 3.0 SDK per se.</p>

<p>Here’s the breakdown of the behavior I am seeing.</p>

<p>My Application is compiled to OS version 2.2. I can run it out of XCode in debug mode on the Simulator and Device running 2.2, 2.2.1, 3.0.</p>

<p>If I start it with Performance Tools -> Leaks, I get an error message from the OS,  “The application xxxx quit unexpectedly”, “Ignore, Report, Relaunch.” If I click “Ignore” one of two things will happen, either Leaks tells me it couldn’t attach, or Leaks stop responding to input and I have to Force Quit.  Interesting thing is the Simulator starts in 3.0 OS.</p>

<p>If I start Instruments Manually and attach to a running 2.2 Simulator it shows the same behavior.</p>

<p>If I attach Leaks to an iPhone Device it works.</p>

<p>It seems that once I launch Leaks my app won't run in the simulator until I do a new build.</p>

<p>Any ideas for getting my Simulator/Leaks/Xcode synced back up?</p>

<p>Thanks,
Geoff</p>
",2,0,2009-03-22T19:45:44.307,0,671527,18095,1,0,<iphone><memory-leaks><simulator>,Trouble Running Leaks Instrument,838
791972,10,"<p>I am tried deploying .cod,.alx.jar files on blackberry simulator 8100;the application is not getting deployed on phone.I am using Blackberry plugin for Eclipse.
How can I solve this issue?</p>

<p>Please help</p>

<hr>

<p><strong>Update</strong></p>

<p>Hi,
Thanks for your reply.
I am trying to run the application the way you suggested.</p>

<p>Do I need to setup new run configuration every time I run any project?</p>

<p>What should be default value for build configuration ? [Debug,Private,or Release]</p>
",1,0,2009-04-25T07:18:49.110,1,788442,95873,1,5,<blackberry><simulator><blackberry-os-v4.5>,Application not getting deployed on Blackberry simulator,15016
