Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
0,0.0,0.2212,"packet, message, send, node, receive, application, multiple, datum, specific, server",No drop packets using the error models for wireless scenario?
1,3.0,0.2412,"vein, omnet, vehicle, sumo, change, rsu, car, scenario, simulation, speed",How can I monitor a flow over wireless connection?
2,4.0,0.2875,"simulation, run, time, calculate, work, delay, distance, end, throughput, result",How to Set the MTU(Maximum Transmission unit) in NS2?
3,6.0,0.2875,"error, omnet, omnetpp, variable, installation, window, unable, read, problem, ubuntu",Unable to change the value of the variable
4,6.0,0.2208,"error, omnet, omnetpp, variable, installation, window, unable, read, problem, ubuntu","NS2, Otcl: using a variable of an owned instance within a class"
5,4.0,0.2875,"simulation, run, time, calculate, work, delay, distance, end, throughput, result",NS2: How to measure queueing delay
6,1.0,0.2431,"file, set, parameter, number, module, trace, generate, script, random, position",how to embeded the c++ coding with tcl script:NS2
7,2.0,0.525,"node, network, create, wireless, simulator, simulate, omnet, model, connect, sensor",Best software product to simulate connectivity issues for mobile testing
8,5.0,0.2344,"omnet, inet, make, project, build, link, error, library, fail, command",Bug in um-olsr for NS 2.34?
9,4.0,0.2542,"simulation, run, time, calculate, work, delay, distance, end, throughput, result",calculating link utilization using ns2
10,2.0,0.2986,"node, network, create, wireless, simulator, simulate, omnet, model, connect, sensor",UCBT Bluetooth Simulator
11,2.0,0.2083,"node, network, create, wireless, simulator, simulate, omnet, model, connect, sensor",Problem during the insatallation of NS 2.29 on windows
12,3.0,0.2344,"vein, omnet, vehicle, sumo, change, rsu, car, scenario, simulation, speed",Scheduling in NS2
13,1.0,0.3229,"file, set, parameter, number, module, trace, generate, script, random, position",Comparing 2 trace files using trace graph
14,7.0,0.2083,"implement, find, add, function, route, code, class, type, program, call",GEt DSR neighbor node
15,2.0,0.2639,"node, network, create, wireless, simulator, simulate, omnet, model, connect, sensor",What network simulation model should I use for simulating the behavior of an ad-hoc network in OMNET++
16,0.0,0.125,"packet, message, send, node, receive, application, multiple, datum, specific, server",how to draw xgraph in satcom in ns2 simulation
17,1.0,0.3208,"file, set, parameter, number, module, trace, generate, script, random, position",conversion of .cc file to object file
18,6.0,0.2344,"error, omnet, omnetpp, variable, installation, window, unable, read, problem, ubuntu",Tcl: Invalid command name error
19,2.0,0.4063,"node, network, create, wireless, simulator, simulate, omnet, model, connect, sensor",Simulating packet dropping in a wireless network
20,5.0,0.3229,"omnet, inet, make, project, build, link, error, library, fail, command",Problem recompiling using make command in ubuntu
21,0.0,0.2083,"packet, message, send, node, receive, application, multiple, datum, specific, server",TCP packet simulation + omnet
22,6.0,0.2311,"error, omnet, omnetpp, variable, installation, window, unable, read, problem, ubuntu",Smart pointer and external code interaction via JNI
23,0.0,0.2126,"packet, message, send, node, receive, application, multiple, datum, specific, server",OMNet++: EtherSwitch and EtherHost device configurations and routing. How to?
24,7.0,0.2205,"implement, find, add, function, route, code, class, type, program, call",OMNet++: What are the differens between ethg and pppg gates?
25,2.0,0.3921,"node, network, create, wireless, simulator, simulate, omnet, model, connect, sensor",NS2: How to simulate nodes running two different mac protocols in a single network?
26,2.0,0.3229,"node, network, create, wireless, simulator, simulate, omnet, model, connect, sensor",creating a loss system for voice data in Linux
27,7.0,0.3408,"implement, find, add, function, route, code, class, type, program, call","Debugging symbols present, but eclipse does not associate them with source code"
28,5.0,0.2118,"omnet, inet, make, project, build, link, error, library, fail, command",Problem while trying to setup a connection between two base stations in NS-2
29,0.0,0.2344,"packet, message, send, node, receive, application, multiple, datum, specific, server",How can I send a .msg through gates in omnet?
30,1.0,0.1705,"file, set, parameter, number, module, trace, generate, script, random, position",av_open_input_file returns -2 but file exists (libav in NS2)
31,4.0,0.2764,"simulation, run, time, calculate, work, delay, distance, end, throughput, result",Execution of simulation of scripts in ns2
32,5.0,0.3097,"omnet, inet, make, project, build, link, error, library, fail, command",make library not found
33,7.0,0.2344,"implement, find, add, function, route, code, class, type, program, call",TCL script generator for NS2
34,4.0,0.2875,"simulation, run, time, calculate, work, delay, distance, end, throughput, result",running multiple simulation in ns2 with shell script
35,2.0,0.2488,"node, network, create, wireless, simulator, simulate, omnet, model, connect, sensor",How to get the object of the module dynamically created in OMNet++ 4?
36,5.0,0.2614,"omnet, inet, make, project, build, link, error, library, fail, command",how to make the mobile nodes static in tcl?
37,7.0,0.3579,"implement, find, add, function, route, code, class, type, program, call",Will this lead to a race condition in event-driven programming?
38,1.0,0.423,"file, set, parameter, number, module, trace, generate, script, random, position",Converting a string to uint8_t array in C++
39,7.0,0.2083,"implement, find, add, function, route, code, class, type, program, call",Implementing Dijkstras algorithm using BGL graph
40,0.0,0.2581,"packet, message, send, node, receive, application, multiple, datum, specific, server",Unable to Alloc Bytes - Large Scale Simulation in NS-2
41,2.0,0.2097,"node, network, create, wireless, simulator, simulate, omnet, model, connect, sensor",emulating live network with ns-2
42,7.0,0.2875,"implement, find, add, function, route, code, class, type, program, call",What are the built-in routing algorithms of NS2?
43,1.0,0.3319,"file, set, parameter, number, module, trace, generate, script, random, position",parsing ns2 trace file
44,6.0,0.3194,"error, omnet, omnetpp, variable, installation, window, unable, read, problem, ubuntu",String assignment error
45,4.0,0.2816,"simulation, run, time, calculate, work, delay, distance, end, throughput, result",How to change the delay of a link in NS2 simulation?
46,6.0,0.3194,"error, omnet, omnetpp, variable, installation, window, unable, read, problem, ubuntu",ns2 global variable
47,1.0,0.3875,"file, set, parameter, number, module, trace, generate, script, random, position",How can evaluate an output of tcl file?
48,1.0,0.2513,"file, set, parameter, number, module, trace, generate, script, random, position",Using fputs with an argument of type string
49,6.0,0.2083,"error, omnet, omnetpp, variable, installation, window, unable, read, problem, ubuntu",How to insert C++ variable into TCL script program?
50,7.0,0.1788,"implement, find, add, function, route, code, class, type, program, call",NS2-Modification of protocol
51,2.0,0.4593,"node, network, create, wireless, simulator, simulate, omnet, model, connect, sensor",Simulating Geographic Routing in Wireless Sensor Networks Using Omnet++
52,7.0,0.2066,"implement, find, add, function, route, code, class, type, program, call",NS2-Modification of protocol - AODV
53,7.0,0.3422,"implement, find, add, function, route, code, class, type, program, call",C++: variable ns3::Ipv4RoutingTableEntry route has initializer but incomplete type
54,5.0,0.2875,"omnet, inet, make, project, build, link, error, library, fail, command",Link shared library when using WAF and NS3
55,6.0,0.2207,"error, omnet, omnetpp, variable, installation, window, unable, read, problem, ubuntu",Installing ns-allinone-2.29.3 on Ubuntu 11.10
56,0.0,0.2109,"packet, message, send, node, receive, application, multiple, datum, specific, server",create a new packet similar to that of RREQ in AODV routing protocol
57,5.0,0.2083,"omnet, inet, make, project, build, link, error, library, fail, command",Constructor in omnetpp project
58,1.0,0.4519,"file, set, parameter, number, module, trace, generate, script, random, position",passing ‘const Link’ as ‘this’ argument of ‘std::string GetAttribute(std::string)’ discards qualifiers
59,7.0,0.3408,"implement, find, add, function, route, code, class, type, program, call",SIGSEGV; missing file; when running program using sscanf
60,1.0,0.2614,"file, set, parameter, number, module, trace, generate, script, random, position",Using the << operator when supplying argument to functions
61,4.0,0.2207,"simulation, run, time, calculate, work, delay, distance, end, throughput, result",Promiscuous mode in AODV NS2
62,0.0,0.3321,"packet, message, send, node, receive, application, multiple, datum, specific, server",Omnet++: Simultaneously send messages from more than one node
63,7.0,0.2653,"implement, find, add, function, route, code, class, type, program, call",Omnet: How to extract data from CMessage
64,1.0,0.2431,"file, set, parameter, number, module, trace, generate, script, random, position","C++ include, using cplusplus {{ }} construct"
65,0.0,0.3523,"packet, message, send, node, receive, application, multiple, datum, specific, server",Starting to work with 802.11p WAVE for VANET
66,2.0,0.2875,"node, network, create, wireless, simulator, simulate, omnet, model, connect, sensor",How to let a uint8_t const* point at the same address as a char*?
67,7.0,0.2875,"implement, find, add, function, route, code, class, type, program, call",How can I use NS-3 to simulate some routing algorithms?
68,0.0,0.125,"packet, message, send, node, receive, application, multiple, datum, specific, server",How to use printf in NS-2
69,0.0,0.1875,"packet, message, send, node, receive, application, multiple, datum, specific, server",Generate Hash Key of (void *) data
70,6.0,0.3319,"error, omnet, omnetpp, variable, installation, window, unable, read, problem, ubuntu",Cast object pointer to char array
71,0.0,0.125,"packet, message, send, node, receive, application, multiple, datum, specific, server",C++ undefined reference in ns2
72,0.0,0.125,"packet, message, send, node, receive, application, multiple, datum, specific, server",RSSI Calculation in ns2
73,0.0,0.125,"packet, message, send, node, receive, application, multiple, datum, specific, server",What does Scheduler::instance().clock() return?
74,6.0,0.2431,"error, omnet, omnetpp, variable, installation, window, unable, read, problem, ubuntu",opening Omnet from ubuntu 11.10
75,5.0,0.2875,"omnet, inet, make, project, build, link, error, library, fail, command",initialization of circular queue in Omnet
76,5.0,0.2344,"omnet, inet, make, project, build, link, error, library, fail, command",ns3 buffer.h assert failed
77,2.0,0.196,"node, network, create, wireless, simulator, simulate, omnet, model, connect, sensor",How to simulate vehicle movement in omnet++?
78,1.0,0.1875,"file, set, parameter, number, module, trace, generate, script, random, position",How i can define parameter in omnet++ that will use other parameter definition?
79,1.0,0.1806,"file, set, parameter, number, module, trace, generate, script, random, position","""Could not update ICEauthority file..."" error"
80,7.0,0.3875,"implement, find, add, function, route, code, class, type, program, call",Is the NS-3 TCP/UDP socket non-blocking or blocking?
81,7.0,0.2614,"implement, find, add, function, route, code, class, type, program, call",how to access current queue size in NS2
82,7.0,0.2205,"implement, find, add, function, route, code, class, type, program, call",How to find node id in NS2?
83,4.0,0.2066,"simulation, run, time, calculate, work, delay, distance, end, throughput, result",ns-3 wlan grid TCP not working while UDP is
84,4.0,0.3875,"simulation, run, time, calculate, work, delay, distance, end, throughput, result",Calculate throughput in NS2 using AWK
85,5.0,0.2431,"omnet, inet, make, project, build, link, error, library, fail, command",Program becomes unresponsive: OMNet++
86,0.0,0.2614,"packet, message, send, node, receive, application, multiple, datum, specific, server",How to implement application layer behaviour in ns-2 using Tcl
87,5.0,0.1986,"omnet, inet, make, project, build, link, error, library, fail, command",ns3 mesh udp traffic bug
88,2.0,0.2581,"node, network, create, wireless, simulator, simulate, omnet, model, connect, sensor",How can I create a subclass of a message (.msg) in OMNeT++?
89,7.0,0.3875,"implement, find, add, function, route, code, class, type, program, call",how add the OMNeT++ bin directory to the path so that opp_configfilepath can be found?
90,6.0,0.4432,"error, omnet, omnetpp, variable, installation, window, unable, read, problem, ubuntu",OMNET++/MIXIM : HOW CAN I CORRECT THE FOLLOWING COMPILERS ERROR
91,5.0,0.3194,"omnet, inet, make, project, build, link, error, library, fail, command",How to build NS-3 to use C++0x/C++11 libraries?
92,4.0,0.2875,"simulation, run, time, calculate, work, delay, distance, end, throughput, result","For NS-3, Is synchronization needed when using MPI Distributed Simulation?"
93,6.0,0.2581,"error, omnet, omnetpp, variable, installation, window, unable, read, problem, ubuntu",Error building Omnet++: Cannot build Tcl/Tk apps on Mountain lion
94,6.0,0.2344,"error, omnet, omnetpp, variable, installation, window, unable, read, problem, ubuntu",Installation of ns2 in ubuntu 11.04
95,5.0,0.4776,"omnet, inet, make, project, build, link, error, library, fail, command",Linking error in OMNeT++ using Boost serialization library
96,0.0,0.125,"packet, message, send, node, receive, application, multiple, datum, specific, server",TCL script Query
97,4.0,0.2764,"simulation, run, time, calculate, work, delay, distance, end, throughput, result",Simulation of TCP sync attack in ns2
98,6.0,0.3194,"error, omnet, omnetpp, variable, installation, window, unable, read, problem, ubuntu",NS-3 Compiling Error
99,0.0,0.3047,"packet, message, send, node, receive, application, multiple, datum, specific, server",How can i force tcp to discard the oldest data segment in the buffer and accept the new data written by the application in NS2
100,2.0,0.2205,"node, network, create, wireless, simulator, simulate, omnet, model, connect, sensor",How would I simulate TCP-RTM using/in NS2?
101,1.0,0.2344,"file, set, parameter, number, module, trace, generate, script, random, position",Parameters in TCL using ns2
102,2.0,0.2764,"node, network, create, wireless, simulator, simulate, omnet, model, connect, sensor",Wireless simulation issue
103,6.0,0.3071,"error, omnet, omnetpp, variable, installation, window, unable, read, problem, ubuntu",Error while installing ns 2.35 in Ubuntu 12.04
104,1.0,0.2205,"file, set, parameter, number, module, trace, generate, script, random, position",Modify CW value in mac802.11.h in NS2
105,0.0,0.2083,"packet, message, send, node, receive, application, multiple, datum, specific, server",Running aodv in ns2.34
106,0.0,0.196,"packet, message, send, node, receive, application, multiple, datum, specific, server",Video Transmission in NS-3
107,1.0,0.3194,"file, set, parameter, number, module, trace, generate, script, random, position",OMNET++: .gdbinit: no such file or directory?
108,5.0,0.1986,"omnet, inet, make, project, build, link, error, library, fail, command",Failing to install omentpp 4.1
109,0.0,0.125,"packet, message, send, node, receive, application, multiple, datum, specific, server",How to use yaml-cpp in NS3
110,2.0,0.2344,"node, network, create, wireless, simulator, simulate, omnet, model, connect, sensor",Omnet++ : Ad Hoc Network
111,2.0,0.3764,"node, network, create, wireless, simulator, simulate, omnet, model, connect, sensor",How to connect two nodes via WLAN interface in OMNeT++?
112,6.0,0.2344,"error, omnet, omnetpp, variable, installation, window, unable, read, problem, ubuntu",Error in NS2.35 installation on fedora 17
113,0.0,0.2614,"packet, message, send, node, receive, application, multiple, datum, specific, server",How to simulate video traffic on omnet++
114,0.0,0.2396,"packet, message, send, node, receive, application, multiple, datum, specific, server",Any other way than using ofstream to write data to .txt files in C++
115,2.0,0.3194,"node, network, create, wireless, simulator, simulate, omnet, model, connect, sensor",NS [Network Simulator] TCL and C++
116,7.0,0.2764,"implement, find, add, function, route, code, class, type, program, call",Implementation of Vanet B-MFR routing protocol on ns2
117,0.0,0.125,"packet, message, send, node, receive, application, multiple, datum, specific, server",How to use EtherHost in OMNET++
118,2.0,0.2951,"node, network, create, wireless, simulator, simulate, omnet, model, connect, sensor",Implenting wireless sensor routing protocol in NS2
119,4.0,0.1875,"simulation, run, time, calculate, work, delay, distance, end, throughput, result",Omnetpp model asimmetric channel
120,5.0,0.2361,"omnet, inet, make, project, build, link, error, library, fail, command",How to import a graph structure and make a network of objects based on that graph for simulation in OMNet++
121,2.0,0.2083,"node, network, create, wireless, simulator, simulate, omnet, model, connect, sensor",ns2 mpolsr compilation error for wsn
122,0.0,0.125,"packet, message, send, node, receive, application, multiple, datum, specific, server",What can be done in NS2 and what can not be?
123,0.0,0.322,"packet, message, send, node, receive, application, multiple, datum, specific, server",confusion ns2 : agents classifiers and nodes
