Dominant_Topic,Topic_Perc_Contrib,Keywords,AcceptedAnswerId,AnswerCount,Body,CommentCount,CommunityOwnedDate,CreationDate,FavoriteCount,Id,OwnerUserId,PostTypeId,Score,Tags,Title,ViewCount
0,0.2212,"packet, message, send, node, receive, application, multiple, datum, specific, server",0,1,"<p>I am trying to use the error model in ns2 with wireless links, I am using ns2.33. I tried the uniform error model and the markov chain model.  No errors from ns but when I am trying to find the dropped packets due to corruption I can not find any of them using either the uniform or markov models. So please help me if I made any error in using the error model.</p>

<p>To search for dropped packets I am using</p>

<blockquote>
  <p>eid@eid-laptop:~/code/ns2/noisy$ cat mixed.tr | grep d</p>
</blockquote>

<p>Here is a whole code:</p>

<pre><code>### This simulation is an example of combination of wired and wireless
### topologies.
#-------------------------------------------------------------------------------
#defining a new hashtable to store values
global opt
set adhocRouting   DSDV
set stop           350
set num_wired_nodes      1
set num_bs_nodes         1
set num_wireless_nodes             2
set x    300
set y    300
#-------------------------------------------------------------------------------

proc plotWindow { tcpSource file } {
global ns_
set time 0.1
set now [$ns_ now]
set cwnd [$tcpSource set cwnd_]
set wnd [$tcpSource set window_]
puts $file ""$now $cwnd""
$ns_ at [expr $now+$time] ""plotWindow $tcpSource $file""
}

proc wireless_node_config {ns topo em} {
  $ns node-config -adhocRouting DSDV \
                 -llType LL \
                 -macType Mac/802_11 \
                 -ifqType Queue/DropTail/PriQueue \
                 -ifqLen 50 \
                 -antType Antenna/OmniAntenna \
                 -propInstance [new Propagation/TwoRayGround] \
                 -phyType Phy/WirelessPhy \
                 -channel [new Channel/WirelessChannel] \
                 -topoInstance $topo \
                 -wiredRouting ON \
                 -agentTrace ON \
                 -routerTrace OFF \
                 -macTrace OFF \
@@                 -outgoingErrProc $em
@@                 -incomingErrProc $em

}

proc nam {ns namFile trFile namOutFile} {
    $ns flush-trace
    close $namFile
    close $trFile
    puts ""running nam...""
#    exec nam $namOutFile &amp;
    puts ""I am in nam""
}
proc finish { } {
    exit 0
}
#-------------------------------------------------------------------------------
# The global simulator instance
set ns_   [new Simulator]
#-------------------------------------------------------------------------------
#Hierarchical routing is needed to in mixed environments
#each of wireless and wired environment must be in seperated domains
#so at least we want 2 domains

# set up for hierarchical routing
$ns_ node-config -addressType hierarchical
AddrParams set domain_num_ 2
lappend cluster_num 1 2
AddrParams set cluster_num_ $cluster_num
lappend eilastlevel 1 1 2
AddrParams set nodes_num_ $eilastlevel
#-------------------------------------------------------------------------------
#set the Topology
set topo   [new Topography]
$topo load_flatgrid x y

# god needs to know the number of all wireless interfaces
create-god [expr $num_wireless_nodes+$num_wired_nodes]
#-------------------------------------------------------------------------------
#trace output file
set trFile  [open mixed.tr w]
$ns_ trace-all $trFile

# nam output files
set namFile [open mixed.nam w]
$ns_ namtrace-all $namFile
$ns_ namtrace-all-wireless $namFile x y

#xgraph output files
set x0 [open xgraph0.tr w]

#extra files
set cwndFile [open cwndFile.wtc w]
#-------------------------------------------------------------------------------
#Define different colors for data flows (for NAM)
$ns_ color 1 Blue
$ns_ color 2 Red
$ns_ color 3 Green
#-------------------------------------------------------------------------------
@@#creating the error model
@@set m1_ubstate 27.0
@@set m1_bstate 12.0
@@set m2_ubstate 0.4
@@set m2_bstate 0.4
@@set durlist ""$m1_ubstate $m1_bstate $m2_ubstate $m2_bstate""
@@set errmodel [new ErrorModel/ComplexTwoStateMarkov $durlist time]
@@$errmodel unit packet
@@$errmodel drop-target [new Agent/Null]

#the option below is for wired links, there is no links in wireless environment

#$ns_ link-lossmodel $loss_module $BS(0) $node_(0)
#-------------------------------------------------------------------------------
#Creating the nodes

    # The wired nodes
set addresses {0.0.0 1.0.0 1.1.0 1.1.1}
set W(0) [$ns_ node [lindex $addresses 0]]
    #The wireless nodes
wireless_node_config $ns_ $topo $errmodel
set BS(0) [$ns_ node [lindex $addresses 1]]


$ns_ node-config -wiredRouting OFF
        #base stations nodes
$BS(0) random-motion 0

        #mobile nodes
  for {set j 0} {$j &lt; [expr $num_wired_nodes + $num_bs_nodes]} {incr j} {
    set node_($j) [ $ns_ node [lindex $addresses [expr $j+2]] ]
    #attach nodes to base station
    $node_($j) base-station [AddrParams addr2id [$BS(0) node-addr]]
  }

# End Creating the Nodes
#-------------------------------------------------------------------------------
# Positioning the nodes
  $BS(0) set X_ 50.0
  $BS(0) set Y_ 50.0
  $BS(0) set Z_ 0.0
  $node_(0) set X_ 0.0
  $node_(0) set Y_ 0.0
  $node_(0) set Z_ 0.0
  $node_(1) set X_ 100.0
  $node_(1) set Y_ 0.0
  $node_(1) set Z_ 0.0
#-------------------------------------------------------------------------------
#create links between wired and BS nodes
$ns_ duplex-link $W(0) $BS(0) 2Mb 2ms DropTail down
$ns_ duplex-link-op $W(0) $BS(0) orient down
$ns_ queue-limit $W(0) $BS(0) 2020Mb
#$ns_ duplex-link-op $W(0) $BS(0) queuePos 0.5
#-------------------------------------------------------------------------------

#Sizing the mobile nodes this will make them appear in NAM
for {set i 0} {$i &lt; $num_wireless_nodes} {incr i} {
      $ns_ initial_node_pos $node_($i) 10
   }
#-------------------------------------------------------------------------------
# setup TCP connections
  set tcp1 [new Agent/TCP/Newreno]
  $tcp1 set class_ 2
  set sink1 [new Agent/TCPSink/DelAck]
  $ns_ attach-agent $W(0) $tcp1
  $ns_ attach-agent $node_(0) $sink1
  $ns_ connect $tcp1 $sink1
  set ftp1 [new Application/FTP]
  $ftp1 attach-agent $tcp1
#-------------------------------------------------------------------------------
#time line scenario.
$ns_ at 1.5 ""$ftp1 start""
$ns_ at [expr $stop-10] ""$ftp1 stop""

#reset nodes after finishing
for {set i 0} {$i &lt; $num_wireless_nodes } {incr i} {
      $ns_ at $stop.000000 ""$node_($i) reset"";
  }
$ns_ at $stop.000000 ""$BS(0) reset"";

puts ""Starting Simulation...""
$ns_ at 0.1 ""plotWindow $tcp1 $cwndFile""
$ns_ at $stop.1 ""nam $ns_ $namFile $trFile mixed.nam""
$ns_ at $stop.2 ""finish""
#-------------------------------------------------------------------------------
$ns_ run
</code></pre>

<p>You can also find same code <a href=""http://pastebin.com/f68749435"" rel=""nofollow noreferrer"">here</a> </p>
",0,0,2008-11-05T17:10:31.530,0,265886,0,1,2,<tcl><simulation><wireless><ns2>,No drop packets using the error models for wireless scenario?,2393
3,0.2412,"vein, omnet, vehicle, sumo, change, rsu, car, scenario, simulation, speed",0,3,"<p>I am trying to monitor a tcp flow using flow monitor. attach-fmon wants link object which is not available in wireless connections. How can I solve this problem ? Are there any other solutions ?</p>

<p>My code is here
<a href=""http://pastebin.com/f59241692"" rel=""nofollow noreferrer"">http://pastebin.com/f59241692</a></p>

<p>I got this error message</p>

<pre><code>eid@eid-laptop:~/code/ns2/noisy$ ns mixed.tcl
num_nodes is set 3
INITIALIZE THE LIST xListHead
invalid command name """"
    while executing
""$lnk attach-monitors $isnoop $osnoop $dsnoop $fm""
    (procedure ""_o3"" line 5)
    (Simulator attach-fmon line 5)
    invoked from within
""$ns_ attach-fmon $wllink $fmon""
    (file ""mixed.tcl"" line 182)
</code></pre>
",1,0,2008-11-05T17:16:44.967,0,265914,0,1,2,<tcl><simulation><wireless><ns2>,How can I monitor a flow over wireless connection?,1361
4,0.2875,"simulation, run, time, calculate, work, delay, distance, end, throughput, result",0,1,"<p>I am using NS2 simulator for  doing some network simulation and having some problem while setting the MTU value ie maximum transmission unit. I want know what is the default value of MTU in NS2 and how can i change this value according to my need?
I want to set different MTU value to observe the behaviour of TCP in different conditions.</p>
",0,0,2009-08-15T06:27:23.647,0,1281311,0,1,0,<ns2>,How to Set the MTU(Maximum Transmission unit) in NS2?,819
6,0.2875,"error, omnet, omnetpp, variable, installation, window, unable, read, problem, ubuntu",2539039,3,"<p>I'm using a discrete event simulator called ns-2 that was built using Tcl and C++. I was trying to write some code in TCL:</p>

<pre><code>set ns [new Simulator]

set state 0

$ns at 0.0 ""puts \""At 0.0 value of state is: $state\""""
$ns at 1.0 ""changeVal""
$ns at 2.0 ""puts \""At 2.0 values of state is: $state\""""

proc changeVal {} {
    global state
    global ns
    $ns at-now ""set state [expr $state+1]""
    puts ""Changed value of state to $state""
}

$ns run
</code></pre>

<p>Here's the output:</p>

<pre><code>At 0.0 value of state is: 0
Changed value of state to 0
At 2.0 values of state is: 0
</code></pre>

<p>The value of state does not seem to change. I am not sure if I am doing something wrong in using TCL. Anyone has an idea as to what might be going wrong here?</p>

<p>EDIT: Thanks for the help. Actually, ns-2 is something over which I do not have much control (unless I recompile the simulator itself). I tried out the suggestions and here's the output:</p>

<p>for the code:</p>

<pre><code>set ns [new Simulator]

set state 0

$ns at 0.0 ""puts \""At 0.0 value of state is: $state\""""
$ns at 1.0 ""changeVal""
$ns at 9.0 ""puts \""At 2.0 values of state is: $state\""""

proc changeVal {} {
    global ns
    set ::state [expr {$::state+1}]
    $ns at-now ""puts \""At [$ns now] changed value of state to $::state\""""
}

$ns run
</code></pre>

<p>the output is:</p>

<pre><code>At 0.0 value of state is: 0
At 1 changed value of state to 1
At 2.0 values of state is: 0
</code></pre>

<p>And for the code:</p>

<pre><code>set ns [new Simulator]

set state 0

$ns at 0.0 ""puts \""At 0.0 value of state is: $state\""""
$ns at 1.0 ""changeVal""
$ns at 9.0 ""puts \""At 2.0 values of state is: $state\""""

proc changeVal {} {
    global ns
    set ::state [expr {$::state+1}]
    $ns at 1.0 {puts ""At 1.0 values of state is: $::state""}
}

$ns run
</code></pre>

<p>the output is:</p>

<pre><code>At 0.0 value of state is: 0
At 1.0 values of state is: 1
At 2.0 values of state is: 0
</code></pre>

<p>Doesn't seem to work... Not sure if its a problem with ns2 or my code...</p>
",3,0,2010-03-29T14:12:44.477,0,2538502,184046,1,1,<debugging><tcl><simulation><ns2><otcl>,Unable to change the value of the variable,231
6,0.2208,"error, omnet, omnetpp, variable, installation, window, unable, read, problem, ubuntu",0,2,"<p>I'm using NS2 to create some new classes in C++ and then link them to otcl. The linkage and everything works, but when I try to use the otcl variables in an object, I'm having a trouble. </p>

<p>For example, suppose I have a class ""<code>Node</code>"" with the variable <code>X</code>. In the code I want to set this value and later on use it in some if-statements. </p>

<p>Setting the variable is no problem using this code:</p>

<pre><code>$node1 set x 4
</code></pre>

<p>Now the problem I'm having is when I try to use this variable x anywhere. In C++ we could use a general variable (i.e., <code>y</code>) and say ""<code>y=node.x</code>"" and then use <code>y</code> in some if-statements. I have tried to look for a method to perform the same thing in otcl, but failed.</p>

<p>Any help is appriciated. </p>

<p>Thanks in Advance.</p>
",0,0,2010-05-02T11:26:56.520,0,2753298,330774,1,0,<c++><tcl><ns2><otcl>,"NS2, Otcl: using a variable of an owned instance within a class",1140
4,0.2875,"simulation, run, time, calculate, work, delay, distance, end, throughput, result",0,1,"<p>I need a tcl or awk script that can be used queueing delay in my simulation. </p>
",0,0,2010-05-11T11:08:15.160,1,2810101,338175,1,1,<ns2>,NS2: How to measure queueing delay,1541
1,0.2431,"file, set, parameter, number, module, trace, generate, script, random, position",0,1,"<p>how to embeded the c++ coding with tcl script:NS2</p>
",0,0,2010-06-28T09:28:30.543,0,3131281,555055,1,0,<c++><tcl><ns2>,how to embeded the c++ coding with tcl script:NS2,1586
2,0.525,"node, network, create, wireless, simulator, simulate, omnet, model, connect, sensor",4072679,1,"<p>I need a product to simulate network latency for testing mobile applications (in particular iphone and android).  I plan to set up a wifi router connected to a linux box, and write a number of scripts to approximate different types of connectivity issues.</p>

<p>So far, I've taken a cursory look at <a href=""http://www.linuxfoundation.org/collaborate/workgroups/networking/netem"" rel=""nofollow noreferrer"">Netem</a> and <a href=""http://www.isi.edu/nsnam/ns/"" rel=""nofollow noreferrer"">ns-2</a> (<a href=""http://www.nsnam.org/"" rel=""nofollow noreferrer"">or its offspring ns-3</a>).  Netem looks very easy to deploy and configure, but they both look like they'll require some in-depth investigation.</p>

<p>Does anyone have positive/negative experiences with either of those solutions that they could share?  Or maybe used a different solution for this problem?</p>
",2,0,2010-09-22T01:21:27.860,1,3765679,205192,1,2,<iphone><android><mobile><ns2>,Best software product to simulate connectivity issues for mobile testing,451
5,0.2344,"omnet, inet, make, project, build, link, error, library, fail, command",0,2,"<p>I think there is a bug in <code>OLSR::degree()</code> method:</p>

<p>This method calculates the number of symmetric neighbors of node y, <strong>EXCLUDING</strong> all the members of N.</p>

<p>I think</p>

<pre><code>OLSR_nb_tuple* nb_tuple =
state_.find_nb_tuple(nb2hop_tuple-&gt;nb_main_addr());
</code></pre>

<p>should be</p>

<pre><code>OLSR_nb_tuple* nb_tuple =
state_.find_nb_tuple(nb2hop_tuple-&gt;2_hop_addr());
</code></pre>

<p>Am I right?</p>
",0,0,2010-11-16T02:00:03.003,0,4190561,509001,1,2,<ns2>,Bug in um-olsr for NS 2.34?,455
4,0.2542,"simulation, run, time, calculate, work, delay, distance, end, throughput, result",0,1,"<p>hi all
i want to calculate utilization of link between 2 node n0 and n1 in ns2 . i have out.tr file that contains trace-queue output for that link. please help me on this topic as soon as possible
thanks</p>
",0,0,2010-11-18T08:06:50.313,1,4212756,511817,1,0,<ns2><network-utilization>,calculating link utilization using ns2,1540
