,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Q1: What kind of topics are present when discussing network simulators (NS)?,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
NS Topic name,Topic_no,Keywords,,,,,,,,,,,,,,,,
Simulation Model Configuration ,0,"['packet', 'message', 'send', 'node', 'receive', 'application', 'multiple', 'datum', 'specific', 'server', 'traffic', 'layer', 'communication', 'data', 'drop', 'rate', 'graph', 'start', 'range', 'event']",,,,,,,,,,,,,,,,
Taget Netwok Protocol modification,1,"['file', 'set', 'parameter', 'module', 'number', 'trace', 'generate', 'script', 'random', 'position', 'access', 'give', 'connection', 'show', 'execute', 'output', 'write', 'pass', 'modify', 'cc']",,,,,,,,,,,,,,,,
Simulation Model Configuration,2,"['node', 'network', 'create', 'wireless', 'simulator', 'simulate', 'omnet', 'model', 'connect', 'sensor', 'simple', 'issue', 'address', 'interface', 'mobile', 'host', 'system', 'resolve', 'point', 'location']",,,,,,,,,,,,,,,,
Simulation Model Configuration,3,"['vein', 'omnet', 'vehicle', 'sumo', 'change', 'rsu', 'car', 'scenario', 'simulation', 'speed', 'map', 'traci', 'current', 'model', 'flow', 'accident', 'exist', 'makefile', 'edge', 'tutorial']",,,,,,,,,,,,,,,,
Simulation Model performance measure,4,"['simulation', 'run', 'time', 'calculate', 'work', 'delay', 'distance', 'end', 'throughput', 'result', 'energy', 'base', 'measure', 'transmission', 'power', 'channel', 'stop', 'crash', 'record', 'ide']",,,,,,,,,,,,,,,,
NS Build error,5,"['omnet', 'inet', 'make', 'project', 'build', 'link', 'error', 'library', 'fail', 'command', 'framework', 'import', 'version', 'define', 'user', 'store', 'check', 'input', 'runtime', 'graph']",,,,,,,,,,,,,,,,
NS Installation,6,"['error', 'omnet', 'omnetpp', 'variable', 'installation', 'window', 'unable', 'read', 'problem', 'ubuntu', 'fix', 'compile', 'install', 'instal', 'building', 'vector', 'package', 'implementation', 'list', 'object']",,,,,,,,,,,,,,,,
Taget Netwok Protocol modification,7,"['implement', 'find', 'add', 'function', 'route', 'code', 'class', 'type', 'program', 'call', 'source', 'protocol', 'base', 'size', 'routing', 'method', 'path', 'miss', 'queue', 'algorithm']",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
RQ2: Which types of issues do researchers face?,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Topic,NS Topic name,number_per_topic,how,what,why,others,,topic name,number_per_topic,,how,,what,,why,,others,
0,Simulation Model Configuration ,430,244,53,5,128,,Simulation Model Configuration ,999,43.02%,566,39.09%,120,53.57%,9,34.62%,304,48.72%
1,Taget Netwok Protocol modification,305,201,26,2,76,,Taget Netwok Protocol modification,527,22.70%,341,23.55%,47,20.98%,7,26.92%,132,21.15%
2,Simulation Model Configuration,292,165,39,3,85,,NS Installation,278,11.97%,217,14.99%,13,5.80%,4,15.38%,44,7.05%
